DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,PEDESTRIAN,SPEEDING,NEIGHBOURHOOD_158,DIVISION
2/18/2022 10:00:00 AM,1144,BAY ST,COLLEGE ST,Major Arterial,Etobicoke York,43.660742,-79.385814,At Intersection,Traffic Signal,Clear,Daylight,Wet,1,Pedestrian Collisions,Pedestrian,80 to 84,North,Unknown,Unknown,Unknown,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,Unknown,Yes,No,Yonge-Bay Corridor,D52
2/18/2022 10:00:00 AM,1144,BAY ST,COLLEGE ST,Major Arterial,Etobicoke York,43.660742,-79.385814,At Intersection,Traffic Signal,Clear,Daylight,Wet,1,Pedestrian Collisions,Driver,80 to 84,South,Turning Right,Failed to Yield Right of Way,Normal,Unknown,Unknown,Unknown,Unknown,Yes,No,Yonge-Bay Corridor,D52
2/27/2022 10:00:00 AM,348,YORE RD,KEELE ST,Major Arterial,Etobicoke York,43.691695,-79.474223,Intersection Related,No Control,Clear,"Dark, artificial",Dry,1,SMV Other,Driver,20 to 24,West,Going Ahead,Lost control,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Beechborough-Greenbrook,D12
2/28/2022 10:00:00 AM,1050,FINCH AVE E,MCCOWAN RD,Major Arterial,Scarborough,43.807955,-79.266467,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,45 to 49,East,Unknown,Unknown,Unknown,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,Unknown,Yes,No,Agincourt North,D42
2/28/2022 10:00:00 AM,1050,FINCH AVE E,MCCOWAN RD,Major Arterial,Scarborough,43.807955,-79.266467,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Driver,45 to 49,East,Turning Right,Improper Turn,Normal,Unknown,Unknown,Unknown,Unknown,Yes,No,Agincourt North,D42
3/6/2022 10:00:00 AM,240,LAKE SHORE BLVD W,JAMESON AVE,Major Arterial,Toronto and East York,43.633368,-79.43645,Non Intersection,No Control,Clear,Dark,Dry,1,SMV Other,Passenger,15 to 19,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,South Parkdale,D14
3/6/2022 10:00:00 AM,240,LAKE SHORE BLVD W,JAMESON AVE,Major Arterial,Toronto and East York,43.633368,-79.43645,Non Intersection,No Control,Clear,Dark,Dry,1,SMV Other,Driver,30 to 34,East,Going Ahead,Lost control,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,South Parkdale,D14
3/6/2022 10:00:00 AM,1521,DUNDAS ST E,BOND ST,Local,Toronto and East York,43.656188,-79.378276,At/Near Private Drive,No Control,Clear,Daylight,Dry,1,Pedestrian Collisions,Vehicle Owner,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Downtown Yonge East,D51
3/6/2022 10:00:00 AM,1521,DUNDAS ST E,BOND ST,Local,Toronto and East York,43.656188,-79.378276,At/Near Private Drive,No Control,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,45 to 49,Unknown,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,"Ability Impaired, Alcohol",Unknown,Yes,No,Downtown Yonge East,D51
3/6/2022 10:00:00 AM,1521,DUNDAS ST E,BOND ST,Local,Toronto and East York,43.656188,-79.378276,At/Near Private Drive,No Control,Clear,Daylight,Dry,1,Pedestrian Collisions,Driver,55 to 59,West,Turning Right,Failed to Yield Right of Way,Inattentive,Unknown,Unknown,Unknown,Unknown,Yes,No,Downtown Yonge East,D51
3/31/2022 8:00:00 AM,1736,LAKE SHORE BLVD W,SUPERIOR AVE,Major Arterial,Etobicoke York,43.614878,-79.48862,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,40 to 44,South,Unknown,Unknown,Unknown,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,Unknown,Yes,No,Humber Bay Shores,D22
3/31/2022 8:00:00 AM,1736,LAKE SHORE BLVD W,SUPERIOR AVE,Major Arterial,Etobicoke York,43.614878,-79.48862,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Driver,35 to 39,East,Going Ahead,Disobeyed Traffic Control,Inattentive,Unknown,Unknown,Unknown,Unknown,Yes,No,Humber Bay Shores,D22
3/31/2022 8:00:00 AM,1736,LAKE SHORE BLVD W,SUPERIOR AVE,Major Arterial,Etobicoke York,43.614878,-79.48862,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,75 to 79,South,Unknown,Unknown,Unknown,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,Unknown,Yes,No,Humber Bay Shores,D22
3/31/2022 8:00:00 AM,1736,LAKE SHORE BLVD W,SUPERIOR AVE,Major Arterial,Etobicoke York,43.614878,-79.48862,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Other,unknown,East,Parked,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Humber Bay Shores,D22
3/31/2022 8:00:00 AM,1736,LAKE SHORE BLVD W,SUPERIOR AVE,Major Arterial,Etobicoke York,43.614878,-79.48862,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Other,unknown,East,Parked,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Humber Bay Shores,D22
3/31/2022 8:00:00 AM,1736,LAKE SHORE BLVD W,SUPERIOR AVE,Major Arterial,Etobicoke York,43.614878,-79.48862,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Other,unknown,East,Parked,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Humber Bay Shores,D22
